variante;numero;libelle;type;sens_normal;parent_numero;niveau;imputable;marque;parametre_requis
commun;6800;"Amortissements et corrections de valeur de l'actif immobilisé";charge;debit;68;4;1;;
commun;6900;"Charges financières";charge;debit;69;4;1;;
commun;6950;"Produits financiers";charge;credit;69;4;1;;
commun;7000;"Produits des activités annexes";charge;credit;70;4;1;;
commun;7010;"Charges des activités annexes";charge;debit;70;4;1;;
commun;7500;"Produits des immeubles d'exploitation";charge;credit;75;4;1;;
commun;7510;"Charges des immeubles d'exploitation";charge;debit;75;4;1;;
commun;8000;"Charges hors exploitation";charge;debit;80;4;1;;
commun;8100;"Produits hors exploitation";charge;credit;80;4;1;;
commun;8500;"Charges extraordinaires, uniques ou hors période";charge;debit;85;4;1;;
commun;8510;"Produits extraordinaires, uniques ou hors période";charge;credit;85;4;1;;
commun;8900;"Impôts directs (avant déclaration)";charge;debit;89;4;1;;
commun;9200;"Bénéfice ou perte de l'exercice";hors_bilan;debit;92;4;1;resultat;
raison_individuelle;28;"Capitaux propres";passif;credit;2;2;0;;
raison_individuelle;2800;"Capital propre en début d’exercice";passif;credit;28;4;1;;
raison_individuelle;2820;"Apports de capital / prélèvements sur capital";passif;credit;28;4;1;;
raison_individuelle;2850;"Compte privé";passif;debit;28;4;1;;
raison_individuelle;2891;"Bénéfice / perte de l’exercice";passif;credit;28;4;1;resultat;
societe_personnes;28;"Capitaux propres";passif;credit;2;2;0;;
societe_personnes;2800;"Capital, associé A en début d’exercice";passif;credit;28;4;1;;
societe_personnes;2810;"Apports de capital / prélèvements sur capital, associé A";passif;credit;28;4;1;;
societe_personnes;2820;"Compte privé, associé A";passif;debit;28;4;1;;
societe_personnes;2830;"Bénéfice / perte de l’exercice, associé A";passif;credit;28;4;1;resultat;
societe_personnes;2850;"Capital, commanditaire A en début d’exercice";passif;credit;28;4;1;;
societe_personnes;2860;"Apports de capital / prélèvements sur capital, commanditaire A";passif;credit;28;4;1;;
societe_personnes;2870;"Compte privé, commanditaire A";passif;debit;28;4;1;;
societe_personnes;2880;"Bénéfice / perte de l’exercice, commanditaire A";passif;credit;28;4;1;resultat;
